NHGISST,STATENAM
10,Alabama
20,Alaska
40,Arizona
50,Arkansas
60,California
80,Colorado
90,Connecticut
100,Delaware
110,District of Columbia
120,Florida
130,Georgia
150,Hawaii
160,Idaho
170,Illinois
180,Indiana
190,Iowa
200,Kansas
210,Kentucky
220,Louisiana
230,Maine
240,Maryland
250,Massachusetts
260,Michigan
270,Minnesota
280,Mississippi
290,Missouri
300,Montana
310,Nebraska
320,Nevada
330,New Hampshire
340,New Jersey
350,New Mexico
360,New York
370,North Carolina
380,North Dakota
390,Ohio
400,Oklahoma
410,Oregon
420,Pennsylvania
440,Rhode Island
450,South Carolina
460,South Dakota
470,Tennessee
480,Texas
490,Utah
500,Vermont
510,Virginia
530,Washington
540,West Virginia
550,Wisconsin
560,Wyoming
