GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AYM001
"G0100010","1900","Alabama","010","Autauga","0010","Autauga",17915
"G0100030","1900","Alabama","010","Baldwin","0030","Baldwin",13194
"G0100050","1900","Alabama","010","Barbour","0050","Barbour",35152
"G0100070","1900","Alabama","010","Bibb","0070","Bibb",18498
"G0100090","1900","Alabama","010","Blount","0090","Blount",23119
"G0100110","1900","Alabama","010","Bullock","0110","Bullock",31944
"G0100130","1900","Alabama","010","Butler","0130","Butler",25761
"G0100150","1900","Alabama","010","Calhoun","0150","Calhoun",34874
"G0100170","1900","Alabama","010","Chambers","0170","Chambers",32554
"G0100190","1900","Alabama","010","Cherokee","0190","Cherokee",21096
"G0100210","1900","Alabama","010","Chilton","0210","Chilton",16522
"G0100230","1900","Alabama","010","Choctaw","0230","Choctaw",18136
"G0100250","1900","Alabama","010","Clarke","0250","Clarke",27790
"G0100270","1900","Alabama","010","Clay","0270","Clay",17099
"G0100290","1900","Alabama","010","Cleburne","0290","Cleburne",13206
"G0100310","1900","Alabama","010","Coffee","0310","Coffee",20972
"G0100330","1900","Alabama","010","Colbert","0330","Colbert",22341
"G0100350","1900","Alabama","010","Conecuh","0350","Conecuh",17514
"G0100370","1900","Alabama","010","Coosa","0370","Coosa",16144
"G0100390","1900","Alabama","010","Covington","0390","Covington",15346
"G0100410","1900","Alabama","010","Crenshaw","0410","Crenshaw",19668
"G0100430","1900","Alabama","010","Cullman","0430","Cullman",17849
"G0100450","1900","Alabama","010","Dale","0450","Dale",21189
"G0100470","1900","Alabama","010","Dallas","0470","Dallas",54657
"G0100490","1900","Alabama","010","DeKalb","0490","Dekalb",23558
"G0100510","1900","Alabama","010","Elmore","0510","Elmore",26099
"G0100530","1900","Alabama","010","Escambia","0530","Escambia",11320
"G0100550","1900","Alabama","010","Etowah","0550","Etowah",27361
"G0100570","1900","Alabama","010","Fayette","0570","Fayette",14132
"G0100590","1900","Alabama","010","Franklin","0590","Franklin",16511
"G0100610","1900","Alabama","010","Geneva","0610","Geneva",19096
"G0100630","1900","Alabama","010","Greene","0630","Greene",24182
"G0100650","1900","Alabama","010","Hale","0650","Hale",31011
"G0100670","1900","Alabama","010","Henry","0670","Henry",36147
"G0100710","1900","Alabama","010","Jackson","0710","Jackson",30508
"G0100730","1900","Alabama","010","Jefferson","0730","Jefferson",140420
"G0100750","1900","Alabama","010","Lamar","0750","Lamar",16084
"G0100770","1900","Alabama","010","Lauderdale","0770","Lauderdale",26559
"G0100790","1900","Alabama","010","Lawrence","0790","Lawrence",20124
"G0100810","1900","Alabama","010","Lee","0810","Lee",31826
"G0100830","1900","Alabama","010","Limestone","0830","Limestone",22387
"G0100850","1900","Alabama","010","Lowndes","0850","Lowndes",35651
"G0100870","1900","Alabama","010","Macon","0870","Macon",23126
"G0100890","1900","Alabama","010","Madison","0890","Madison",43702
"G0100910","1900","Alabama","010","Marengo","0910","Marengo",38315
"G0100930","1900","Alabama","010","Marion","0930","Marion",14494
"G0100950","1900","Alabama","010","Marshall","0950","Marshall",23289
"G0100970","1900","Alabama","010","Mobile","0970","Mobile",62740
"G0100990","1900","Alabama","010","Monroe","0990","Monroe",23666
"G0101010","1900","Alabama","010","Montgomery","1010","Montgomery",72047
"G0101030","1900","Alabama","010","Morgan","1030","Morgan",28820
"G0101050","1900","Alabama","010","Perry","1050","Perry",31783
"G0101070","1900","Alabama","010","Pickens","1070","Pickens",24402
"G0101090","1900","Alabama","010","Pike","1090","Pike",29172
"G0101110","1900","Alabama","010","Randolph","1110","Randolph",21647
"G0101130","1900","Alabama","010","Russell","1130","Russell",27083
"G0101150","1900","Alabama","010","St Clair","1150","St Clair",19425
"G0101170","1900","Alabama","010","Shelby","1170","Shelby",23684
"G0101190","1900","Alabama","010","Sumter","1190","Sumter",32710
"G0101210","1900","Alabama","010","Talladega","1210","Talladega",35773
"G0101230","1900","Alabama","010","Tallapoosa","1230","Tallapoosa",29675
"G0101250","1900","Alabama","010","Tuscaloosa","1250","Tuscaloosa",36147
"G0101270","1900","Alabama","010","Walker","1270","Walker",25162
"G0101290","1900","Alabama","010","Washington","1290","Washington",11134
"G0101310","1900","Alabama","010","Wilcox","1310","Wilcox",35631
"G0101330","1900","Alabama","010","Winston","1330","Winston",9554
"G0250055","1900","Alaska Territory","025","Northern District","0055","Northern District",30569
"G0250095","1900","Alaska Territory","025","Southern District","0095","Southern District",33023
"G0450015","1900","Arizona Territory","045","Apache","0015","Apache",8297
"G0450035","1900","Arizona Territory","045","Cochise","0035","Cochise",9251
"G0450055","1900","Arizona Territory","045","Coconino","0055","Coconino",5514
"G0450075","1900","Arizona Territory","045","Gila","0075","Gila",4973
"G0450095","1900","Arizona Territory","045","Graham","0095","Graham",14162
"G0450135","1900","Arizona Territory","045","Maricopa","0135","Maricopa",20457
"G0450155","1900","Arizona Territory","045","Mohave","0155","Mohave",3426
"G0450175","1900","Arizona Territory","045","Navajo","0175","Navajo",8829
"G0450195","1900","Arizona Territory","045","Pima","0195","Pima",14689
"G0450215","1900","Arizona Territory","045","Pinal","0215","Pinal",7779
"G0450235","1900","Arizona Territory","045","Santa Cruz","0235","Santa Cruz",4545
"G0450255","1900","Arizona Territory","045","Yavapai","0255","Yavapai",13799
"G0450275","1900","Arizona Territory","045","Yuma","0275","Yuma",4145
"G0459015","1900","Arizona Territory","045","Colorado River Indian Reservation","9015","Colorado River Indian Reservation",
"G0459035","1900","Arizona Territory","045","Fort Apache Indian Reservation","9035","Fort Apache Indian Reservation",
"G0459055","1900","Arizona Territory","045","Gila Bend Indian Reservation","9055","Gila Bend Indian Reservation",
"G0459075","1900","Arizona Territory","045","Gila River and Salt River Indian Reservations","9075","Gila River and Salt River Indian Reservations",
"G0459095","1900","Arizona Territory","045","Moqui Indian Reservation","9095","Moqui Indian Reservation",
"G0459115","1900","Arizona Territory","045","Navaho Indian Reservation","9115","Navaho Indian Reservation",
